p_vals,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1.0e-6,0.0955494531836797,0.1257684198536646,0.27429814450235457,0.5288556703178514,0.6342301561087909,0.7113871138251613,0.7680133785650607,0.8158711858753439,0.8418873537592592,0.8700005792074192,0.8857023875932345,0.8976212563286861,0.9038945041509623,0.9109547573733274,0.9158142217631658,0.9182156456822478,0.9207687026572335,0.9225614511300612,0.9261572161235517,0.9328563959846141,0.9400939776228454,0.9459608460389407,0.9496692475906897,0.9521906707223999,0.9553805350362923,0.9579623506852575,0.9602324941291578,0.9629317444830828,0.965232350732668,0.9675075472960499,0.9720702415790079,0.9744851206580092,0.9771101992654104,0.9773445199374182,0.9782171474685162,0.9794464254049373,0.9813927433767026,0.9834229074528926,0.9849297236772406,0.9862601663721332,0.9869103760806949,0.9875985453411918,0.9888956822702912,0.9900162118768479,0.9909969866286069,0.991674328938883,0.9920495178651415,0.9922885999546379,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.2589254117941661e-6,0.0970903164808343,0.1266788060160515,0.2785027709993809,0.5319368298753626,0.637705790160078,0.7137980008282679,0.7708057911900008,0.817534498179786,0.8416685514737893,0.8572692177206358,0.8747435841689526,0.886579419962343,0.898750272540319,0.9015594818972522,0.9060288980508673,0.9135060691415297,0.9180224785767795,0.9217835702482748,0.9234324661631059,0.9253908233697313,0.9296921220626028,0.9347763997369144,0.9406616000789304,0.9466221448158577,0.9502511793112713,0.9526489503819718,0.9559687344258857,0.9589139646437101,0.9623344496892353,0.9644755726929488,0.9660804916339462,0.9677743319194024,0.971178051290365,0.9738723463152228,0.9761415420008371,0.9775786439780625,0.9781146650880455,0.9789384538940709,0.9797942557157044,0.9816332121756074,0.983554545277287,0.9850680673452112,0.9863400849514541,0.98703548164807,0.9877030936389962,0.9885570633432674,0.9895650036882803,0.9904163215375071,0.9910675528273533,0.9917331171465038,0.9921193410985193,0.9923356809494422,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.584893192461114e-6,0.09868169109052392,0.13028340150354245,0.2836830732701259,0.5646602716861782,0.679592597662243,0.7445225066314382,0.7656968159641563,0.7875918920672926,0.8020211758311794,0.8262376159317459,0.8460067851532521,0.8682795739552033,0.8825185882795002,0.8928713626031793,0.9002012657657795,0.9031705035653897,0.9060279345930723,0.9095398225397213,0.9155262043661415,0.919154369950843,0.9225755962215199,0.9241909656766167,0.9263904292168649,0.9306515628878272,0.9355879179611475,0.9412854578712337,0.9473356888159774,0.9506197324796483,0.9548101638702222,0.9587598101228226,0.963000422952457,0.9658030094826486,0.9682993525447264,0.9712596380973805,0.9740605239650075,0.9755674996976109,0.9771028241598204,0.9776461765487056,0.9783695313330542,0.9791252640090423,0.9800205826346736,0.9818297889770442,0.9836656095817049,0.9856236362284332,0.9869010067720657,0.9877752185834255,0.9880504941059295,0.9887740290938841,0.9896316671785654,0.9905015362487346,0.9911304838121909,0.9917962437829587,0.992191604831306,0.9924001271845336,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.9952623149688787e-6,0.10032610206832776,0.13297439775009562,0.2870641394915228,0.5396377971702959,0.6438909150554764,0.7065701072785219,0.7479043930585799,0.769328712248575,0.7902974485412647,0.8039630035627393,0.8230607373558144,0.8366115324515188,0.8506075512122112,0.8608508328051699,0.8774337316939061,0.8890723630248165,0.9014606225947925,0.9041535472525222,0.9070532214106669,0.9089181563139916,0.9116340718745924,0.9147838905952221,0.9192502569803275,0.9205615678094691,0.9224525115577429,0.9238261398689935,0.9253842168015372,0.9267573693933774,0.9319407917205687,0.9360503082300616,0.9422338207675784,0.9468058085664105,0.9499090755605598,0.9505112761949809,0.951695456502986,0.9551724972245964,0.9585093656562417,0.9616424246328154,0.9640738704749267,0.9659884623116577,0.9673133026438773,0.9690683642746255,0.9726461731085906,0.9756872173327241,0.9779220034137782,0.9788048657717554,0.9800748820802015,0.9814963611139031,0.9828444096646396,0.9841489544539428,0.9857259885334508,0.986994126006915,0.9876451715812294,0.9880805445139388,0.9881104109396234,0.9886411513102646,0.989166959498944,0.989918713225774,0.9905747830049715,0.9912044091977344,0.9918486432298985,0.9922528351182477,0.9924631400867499,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.5118864315095823e-6,0.10202624560800069,0.1358646696926058,0.2170609328294933,0.39875082368160986,0.4898888094979634,0.5765722639957276,0.6494126614652277,0.7097844855270754,0.7535359687341361,0.7827383250438444,0.7997769798895391,0.8122494931329419,0.824593224363248,0.8389444096220897,0.8521394076685808,0.8627256390913404,0.8716223573047984,0.8790067814782943,0.8877581702782378,0.8957850825248538,0.9029143768938701,0.9070211034416338,0.9099510414810507,0.9125652088261161,0.9176445755695862,0.9210345173608611,0.9242860753879747,0.9262985108081794,0.9279533153732149,0.9324482007762472,0.9363918707660318,0.9394204321489464,0.9442390280229973,0.9477486426190121,0.9511566986689379,0.9521818550772645,0.9556948745511321,0.9588516935756415,0.9621749712014632,0.9643863105721574,0.966499330638069,0.9675993233904744,0.9694650255585553,0.9728683707270797,0.9759817260596755,0.9781215500955326,0.9790502069126733,0.9802586314638909,0.9817235545197597,0.9830178478225343,0.9842823312088222,0.9858768035144063,0.9871512280705016,0.9880442793154215,0.9886067281468194,0.989290429054087,0.9899857744276991,0.9906715588864271,0.9912674656741082,0.9919069615215816,0.9923283526805202,0.9925180810209988,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.162277660168379e-6,0.10378500378568063,0.1395451707321477,0.21876975785209488,0.42070994206981804,0.5441419877246868,0.6528245336104112,0.7130138566599452,0.7566121926501989,0.7874468701233195,0.8095551634239343,0.8261084298950235,0.8393440098307268,0.84886054046848,0.8568668517382495,0.8643114589008403,0.8732346557460814,0.8806656160576193,0.8890400036636098,0.8990362458849889,0.9070670517320242,0.9129049602485313,0.9169514817502334,0.9205649713881235,0.9232894002647468,0.9252979301214043,0.9268884747965775,0.9308819741328033,0.9361418839797885,0.9402981138681749,0.9434980323360237,0.9464244834797461,0.9493464174271949,0.9509848276588404,0.9518107992047141,0.9529199195821054,0.9549188260702407,0.9575444912819007,0.9602651263790387,0.9625128045430589,0.964896924756196,0.9667505057129827,0.9680259519526061,0.9697888472582549,0.97314345797967,0.9762597413337596,0.9783376093523479,0.979097769825694,0.9797093361979878,0.9807017543165535,0.9819097512554694,0.9831849203818208,0.9844581286552502,0.9859686642450906,0.9871865053449012,0.9879070597048341,0.9881981659004995,0.9884045663990688,0.9890847156364986,0.9898910865635786,0.9907492387687995,0.9913528653031514,0.991968109760832,0.9923794478649242,0.9925858704892925,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.981071705534969e-6,0.105605460853934,0.13864364780102353,0.22436091698631955,0.42396479030316053,0.5783322524147475,0.7084872016146979,0.7847760746776349,0.8272170937717722,0.8541775367471516,0.8742931294295613,0.8881294934795909,0.9003854650141313,0.9096324903278848,0.9179106971751688,0.9243020672154045,0.9307920407039305,0.937776867158207,0.9441338381517322,0.9497907650491334,0.9530121073075507,0.9565146488567462,0.9607493040421372,0.9645179917758256,0.9672826797677749,0.9697526116176021,0.973468948116081,0.9765072334016136,0.9785521722992963,0.979311132125532,0.9799391900708436,0.9809227451658278,0.9824525127454861,0.9843458734688942,0.986119566055588,0.9873493909983206,0.9882612937536736,0.988827213548875,0.9894655737841918,0.9900009988149803,0.9905722748404152,0.990977431741001,0.9914464357349824,0.9920375825217242,0.9924359598428788,0.99265033229934,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.011872336272725e-6,0.10749092127876426,0.1429136525610403,0.226531016316702,0.4293281103298208,0.5541364974698558,0.6596713694758984,0.7327866750320008,0.7880909727756265,0.8291092376098917,0.8563347499371482,0.872990632017483,0.8835525026473141,0.8922093185408183,0.9015394379910867,0.9090185337465668,0.9134188759133403,0.915662019351407,0.9174033122292407,0.9210198093202048,0.9242432949870255,0.927277802655619,0.9288369228129583,0.9327505563129667,0.9383494375713831,0.9450052031880183,0.9510120622813466,0.9561115241604035,0.9612691995119248,0.9649191858308354,0.9676324832628707,0.970090531099577,0.9722614718848772,0.9741983916313159,0.9760208586207156,0.9776433101291697,0.9788177736676583,0.9795436934565628,0.9801035213080974,0.981127763807819,0.982277187794378,0.9834914253151078,0.984806920412337,0.9862142156586643,0.9874172020732941,0.9881108716981472,0.988418157915783,0.9886390225619057,0.9890319255062411,0.9895190156556379,0.9902547344639584,0.9909137967915038,0.9915051056290648,0.9921171204841785,0.9924987429085235,0.9927080588102718,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.30957344480193e-6,0.1094449297406259,0.14122759231483598,0.3138398467080769,0.588483754573372,0.7337929801697533,0.8158204422956812,0.8576609967079593,0.8773625816348876,0.8914355945271417,0.9026114017708244,0.9108521108223377,0.916140044079535,0.9213764418311938,0.9261065051963067,0.9327713018334938,0.9391613099767747,0.9457409547299889,0.9515333277727611,0.9586272599099683,0.9640876894892526,0.9679772780586782,0.9704852244248136,0.974060243254725,0.9776229052207804,0.980729417558804,0.9827719220214785,0.9846812277779106,0.9863584559901594,0.9877996822859676,0.9890583280297208,0.9901729321795602,0.9911596917867029,0.99203005473582,0.9925590721704104,0.9927705073923454,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.943282347242822e-6,0.11147129335299774,0.14293270656603074,0.3196975360388004,0.5645957478370887,0.6670004064129739,0.7570838771413013,0.8183187038354847,0.8595887373800315,0.8831993438949147,0.900038622429744,0.9118158631841092,0.917436384419739,0.9239943979224514,0.931868738192007,0.9398495071193511,0.9465788274605815,0.9520721653721718,0.9592715197897906,0.9650708228854106,0.9701673656118422,0.974377686303943,0.9787347013874167,0.9823370214036271,0.9848103488645036,0.986506967222022,0.9879047105752305,0.9891715578622573,0.9902569947923548,0.991240352446566,0.9920962300250812,0.9926127472362216,0.9928333287302807,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
